,,,pH,ORP,Conductivity (S),,,,DO (ppm),"*Observer: 10 degree, Reference illuminant D",,
,,,AVE,AVE,100Hz,400Hz,1kHz,10kHz,,L,a*,b*
Dairy,Yoghurt (diluted half with water),in 1g,3.931636364,161.7545455,0.009789614,0.004976278,0.004177317,0.00383203,8.1096,240.8258004,258.9583747,166.3170345
,Cream,in 1ml,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848
,Milk 0% fat,in 1ml,6.473363636,10.77272727,0.010788836,0.006705061,0.005778216,0.005376213,0.18,240.7986476,258.5213111,172.3141458
,Milk 1% fat,in 1ml,6.475818182,11.23636364,0.01175389,0.006763453,0.005763533,0.005332458,0.1577,239.9626917,258.7515324,172.1763347
,Milk 2% fat,in 1ml,6.484090909,12.33636364,0.011572284,0.006816465,0.005818702,0.005435915,0.104,232.7583062,272.1367033,180.7213571
,Milk 3.4% fat,in 1ml,6.503,9.836363636,0.011898897,0.006479111,0.005472176,0.005059071,0.0791,240.8016068,258.5566177,172.0037561
,Half and half,in 1ml,6.378363636,16.77272727,0.009854474,0.004728896,0.00400766,0.003711839,0.0719,240.8214107,258.8595952,168.3554339
Juice,Apple juice,in 1ml,3.755,175.2090909,0.006563385,0.003271448,0.002812368,0.002637289,5.4946,185.5773278,266.1081106,234.5798469
,Cranberry juice,in 1ml,2.556636364,248.7,7.12499E-05,0.001018354,0.001108428,0.001175917,3.8798,208.3432308,296.6775368,232.7437933
,Grape juice,in 1ml,2.734363636,232.9,0.005822696,0.003112062,0.002693762,0.002507832,8.4654,178.5079072,202.6142625,212.3041322
,Tomato juice,in 1ml,3.895727273,160.0090909,0.013738831,0.01388617,0.015147546,0.016696002,1.4368,234.1839229,272.7183126,156.593038
,Orange juice,in 1ml,3.864,173.0090909,0.00594215,0.005143089,0.004613754,0.004308246,6.9435,240.8367876,259.0015894,166.2458572
Soups and broths,Vege soup,in 1g,4.221727273,144.3545455,0.01384213,0.013580292,0.014163758,0.014672794,1.6186,240.8377118,258.9993592,166.3067958
,Beef broth,in 1ml,4.949,100.9909091,0.015032191,0.014518187,0.015452691,0.01642855,0.86,230.5601074,274.377236,205.5656995
,Chicken broth,in 1ml,6.252818182,20.89090909,0.012880374,0.014026377,0.015115695,0.016147539,8.5634,223.6650815,263.6272466,179.2891347
Others,Tomato paste (diluted half with water),in 1g,4.355545455,143.2454545,0.015426658,0.012403723,0.011840152,0.011481332,3.8373,240.837943,259.0048566,166.2525925
,Soy bean milk,in 1ml,7.786363636,-65.21818182,0.007466732,0.004288118,0.00367129,0.00336664,0.0452,240.7889034,258.4451831,173.7069811
