,Fat,Cholesterol,Sodium,Potassium,Total carbohydrate,Protein,pH,ORP,Conductivity (S),,,,DO (ppm),"*Observer: 10 degree, Reference illuminant D",,,Teracore
Yoghurt (diluted half with water),0.02,0.00005,0.000325,0,0.04,0.085,3.931636364,161.7545455,0.009789614,0.004976278,0.004177317,0.00383203,8.1096,240.8258004,258.9583747,166.3170345,0.0285
Cream,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667,6.508909091,9.054545455,0.005399216,0.002906179,0.002538677,0.002437798,0.0544,240.8376538,258.9980034,166.3201848,0.0325
Milk 0% fat,0,2.08E-05,0.000541667,0,0.054166667,0.0375,6.473363636,10.77272727,0.010788836,0.006705061,0.005778216,0.005376213,0.18,240.7986476,258.5213111,172.3141458,0.038
Milk 1% fat,0.01,6.02E-05,0.000545417,0,0.054541667,0.038375,6.475818182,11.23636364,0.01175389,0.006763453,0.005763533,0.005332458,0.1577,239.9626917,258.7515324,172.1763347,0.0375
Milk 2% fat,0.02,9.96E-05,0.000549167,0,0.054916667,0.03925,6.484090909,12.33636364,0.011572284,0.006816465,0.005818702,0.005435915,0.104,232.7583062,272.1367033,180.7213571,0.0455
Milk 3.4% fat,0.034,0.000154708,0.000554417,0,0.055441667,0.040475,6.503,9.836363636,0.011898897,0.006479111,0.005472176,0.005059071,0.0791,240.8016068,258.5566177,172.0037561,0.0365
Half and half,0.166666667,0.000677083,0.000604167,0,0.060416667,0.052083333,6.378363636,16.77272727,0.009854474,0.004728896,0.00400766,0.003711839,0.0719,240.8214107,258.8595952,168.3554339,0.0265
Apple juice,0,0,0.000145833,0,0.116666667,0,3.755,175.2090909,0.006563385,0.003271448,0.002812368,0.002637289,5.4946,185.5773278,266.1081106,234.5798469,0.0775
Cranberry juice,0,0,0.000145833,0.000125,0.1375,0,2.556636364,248.7,7.12E-05,0.001018354,0.001108428,0.001175917,3.8798,208.3432308,296.6775368,232.7437933,0
Grape juice,0,0,0.000145833,0,0.166666667,0,2.734363636,232.9,0.005822696,0.003112062,0.002693762,0.002507832,8.4654,178.5079072,202.6142625,212.3041322,0.034
Tomato juice,0,0,0.002833333,0.001791667,0.041666667,0.008333333,3.895727273,160.0090909,0.013738831,0.01388617,0.015147546,0.016696002,1.4368,234.1839229,272.7183126,156.593038,0.0325
Orange juice,0,0,0,0.001875,0.108333333,0.008333333,3.864,173.0090909,0.00594215,0.005143089,0.004613754,0.004308246,6.9435,240.8367876,259.0015894,166.2458572,0.024
Vege soup,0,0,0.002918033,0,0.08852459,0.009836066,4.221727273,144.3545455,0.01384213,0.013580292,0.014163758,0.014672794,1.6186,240.8377118,258.9993592,166.3067958,0.0275
Beef broth,0,0,0.003708333,0,0.004166667,0.008333333,4.949,100.9909091,0.015032191,0.014518187,0.015452691,0.01642855,0.86,230.5601074,274.377236,205.5656995,0.053
Chicken broth,0.002083333,2.08E-05,0.004,0,0.004166667,0.004166667,6.252818182,20.89090909,0.012880374,0.014026377,0.015115695,0.016147539,8.5634,223.6650815,263.6272466,179.2891347,0.0375
Tomato paste (diluted half with water),0,0,0.000606061,0,0.181818182,0.060606061,4.355545455,143.2454545,0.015426658,0.012403723,0.011840152,0.011481332,3.8373,240.837943,259.0048566,166.2525925,0.0165
Soy bean milk,0.014583333,0,0.000333333,0,0.0375,0.029166667,7.786363636,-65.21818182,0.007466732,0.004288118,0.00367129,0.00336664,0.0452,240.7889034,258.4451831,173.7069811,0.0215
