Raw data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,without ricin,,,,,,,,,,,,,,,,,,,,with ricin,,,,,,,,,,,,,,,,,,,,without ricin,,,,,,,,,,,,,,,,,,,,with ricin,,,,,,,,,,,,,,,,,,,
,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,
,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min
Yoghurt (diluted half with water),-69.2,-69.48,-69.46,-69.51,-69.45,-43.43,-43.69,-43.77,-43.79,-43.77,-24.77,-25.03,-25.07,-25.11,-25.12,-4.344,-4.391,-4.458,-4.39,-4.421,-69.69,-69.84,-69.79,-69.61,-69.73,-43.88,-44.12,-44.18,-44.16,-44.18,-24.81,-24.95,-24.97,-24.88,-24.97,-4.198,-4.199,-4.301,-4.291,-4.323,669.1,672.5,673.8,674.4,674.8,255.4,255.9,256.2,256.3,256.4,188.3,188.2,188.2,188.5,188.5,155.3,154.5,154.2,154.3,154.5,679,683.1,685.1,685.6,686.2,256.4,257,257.4,257.7,257.8,188.5,188.4,188.4,188.8,188.6,157.1,156.8,156.7,156.7,156.9
Cream,-63.55,-64.54,-64.9,-65.29,-65.35,-38.24,-38.51,-38.72,-38.9,-39.05,-21.4,-21.06,-21.1,-21.24,-21.28,-3.777,-3.579,-3.58,-3.544,-3.59,-63.11,-64,-64.55,-64.94,-65.14,-35.84,-36.34,-36.77,-37.18,-37.58,-19.73,-19.71,-19.87,-20.06,-20.27,-3.247,-3.269,-3.253,-3.321,-3.284,912.4,914,915.5,915,916,386.5,382.8,380.9,379.4,378.2,299.6,297.2,295.5,293.9,292.5,254.8,256.2,255.2,254.3,253.6,721.6,721.1,720.6,720,720.1,319.8,315.1,311.9,309.1,306.6,254.3,250.3,247.1,244.2,240.8,222.2,219.7,216.7,214.4,211.1
Milk 0% fat,-72.14,-72.73,-72.98,-73.12,-73.18,-52.64,-53.2,-53.45,-53.63,-53.73,-33.21,-33.61,-33.85,-34.01,-34.04,-5.711,-5.774,-5.756,-5.836,-5.823,-70.79,-71.13,-71.32,-71.51,-71.61,-49.04,-49.4,-49.56,-49.68,-49.78,-29.38,-29.6,-29.81,-29.99,-30.02,-4.852,-4.936,-4.925,-4.889,-4.931,704.6,716.5,721.7,726.2,729.1,239.5,241.5,242.6,243.5,244.2,153.8,154.1,154.3,154.8,154.9,114.9,115,114.9,114.7,114.8,597.7,603.5,606,607.9,610,212.8,213.9,214.4,214.9,215.4,144.2,144.2,144.5,144.7,144.6,114.7,114.3,114.1,114.2,114
Milk 1% fat,-73.71,-73.98,-74.31,-74.31,-74.54,-56.37,-56.8,-57.03,-57.14,-57.21,-37.54,-37.99,-38.11,-38.21,-38.24,-7.13,-7.153,-7.236,-7.274,-7.204,-73.79,-74.23,-74.42,-74.72,-74.84,-56.04,-56.58,-56.83,-56.98,-57.05,-36.54,-36.98,-37.15,-37.34,-37.43,-6.688,-6.81,-6.802,-6.9,-6.842,824.6,832.7,837.2,840.8,842.3,271.5,272.5,273.2,273.9,274.6,164.6,164.7,164.3,164.6,164.7,113.5,112.9,112.5,112.4,112.4,825.7,837,843,845.8,848,269.2,271,272,272.7,273.2,165.1,164.8,164.6,165,165.2,116.9,116.3,116,116,115.9
Milk 2% fat,-72,-72.48,-72.62,-72.77,-72.8,-51.37,-52.19,-52.61,-52.84,-52.98,-31.81,-32.33,-32.9,-33.11,-33.21,-5.249,-5.477,-5.509,-5.572,-5.603,-71.85,-72.25,-72.41,-72.57,-72.53,-50.02,-50.62,-50.84,-50.98,-51.04,-30.56,-31.17,-31.32,-31.43,-31.58,-5.496,-5.586,-5.643,-5.664,-5.717,679.6,691.4,697.8,701.3,703.9,235,236.2,237.3,238,238.6,153.9,152.9,152.8,152.7,152.8,118.1,116.7,115.8,115.2,115.2,646.7,657.6,663.4,666.7,670,225.7,228,229.5,230.7,231.5,151.8,152.2,152.6,153,153.4,116.6,115.8,116,116,116.2
Milk 3.4% fat,-69.03,-69.81,-70,-70.13,-70.3,-45.65,-46.44,-46.8,-47.02,-47.17,-26.66,-27.31,-27.57,-27.74,-27.92,-4.527,-4.572,-4.607,-4.639,-4.714,-69.97,-70.43,-70.54,-70.74,-70.84,-46.66,-47.27,-47.63,-47.87,-48.02,-27.4,-27.83,-28.18,-28.42,-28.36,-4.442,-4.534,-4.58,-4.631,-4.64,570.8,576.7,579.1,581,582.2,213.5,212.9,212.6,212.5,212.6,151.3,149.8,148.8,148.1,148.3,123.4,121.4,120.2,119.6,119.1,586.2,591.9,595.2,597.7,599.4,214.7,214.9,214.9,215.2,215.4,150.9,149.8,148.9,148.5,148.6,122.6,121.1,120.3,119.5,119
Half and half,-65.08,-66.14,-66.88,-67.33,-67.64,-42.31,-43.45,-44.61,-45.2,-45.67,-25.42,-25.92,-26.93,-27.4,-27.74,-4.59,-4.654,-4.827,-4.925,-4.969,-65.32,-66.76,-67.38,-67.84,-68.17,-39.23,-40.93,-41.84,-42.46,-42.82,-21.47,-22.63,-23.33,-23.87,-24.13,-3.613,-3.886,-4.011,-4.157,-4.159,687.4,680.6,677.4,672.8,671.2,279.4,270,263.5,259.4,256.8,203.3,194.7,187.1,182.7,180,163.8,158.5,149.9,145.3,142,564.8,562.4,561.4,560.5,560.4,233.5,225.6,221.9,219.4,218,180.1,170.7,166.2,162.9,160.7,156,146.8,141.2,137.5,135.4
Apple juice,-63.35,-63.88,-64.18,-64.44,-64.66,-34.83,-35.19,-35.48,-35.74,-35.96,-18.85,-18.97,-19.11,-19.24,-19.38,-3.07,-2.964,-2.935,-2.982,-2.928,-63.03,-63.29,-63.51,-63.45,-63.55,-34.52,-34.72,-34.8,-34.83,-34.85,-17.94,-18.06,-18.06,-18.03,-17.99,-2.626,-2.568,-2.578,-2.664,-2.639,754.2,769.2,775,778.3,780,340.2,344.4,344.8,344.2,343.2,274.1,277.3,277,275.9,274.7,241.1,245.4,245.1,244.2,242.7,699,701.5,701.1,701.5,701.3,313.5,313,312.3,311.7,311.3,255.5,255,253.7,254,253.4,230.3,229.7,229.2,229.7,229.5
